Start,End
"(1, 13)","(2, 7)"
"(52, 60)","(57, 58)"
"(101, 110)","(102, 105)"
"(191, 201)","(196, 199)"
"(219, 229)","(220, 225)"
"(329, 337)","(331, 334)"
"(736, 743)","(738, 742)"
"(756, 764)","(761, 763)"
"(898, 907)","(901, 903)"
"(1, 13)","(2, 10)"
"(25, 33)","(28, 30)"
"(347, 354)","(349, 350)"
"(372, 379)","(375, 376)"
"(426, 433)","(430, 432)"
"(561, 568)","(562, 566)"
"(698, 707)","(701, 703)"
"(792, 796)","(794, 795)"
"(810, 815)","(811, 814)"
"(52, 60)","(54, 58)"
"(72, 82)","(73, 81)"
"(86, 93)","(87, 89)"
"(145, 155)","(146, 151)"
"(191, 201)","(193, 197)"
"(204, 213)","(207, 212)"
"(272, 281)","(277, 278)"
"(500, 510)","(503, 509)"
"(547, 557)","(553, 554)"
"(606, 615)","(610, 611)"
"(698, 707)","(700, 706)"
"(853, 859)","(854, 857)"
"(1046, 1056)","(1050, 1054)"
