Start,End
"(1, 13)","(9, 17)","(2, 10)","(8, 16)"
"(1, 13)","(9, 17)","(11, 18)","(8, 16)"
"(65, 67)","(64, 73)","(61, 70)","(67, 72)"
"(72, 82)","(81, 90)","(77, 86)","(73, 81)"
"(101, 110)","(102, 105)","(93, 103)","(95, 103)"
"(129, 136)","(133, 139)","(127, 134)","(129, 138)"
"(145, 155)","(140, 147)","(144, 154)","(146, 151)"
"(145, 155)","(148, 156)","(144, 154)","(146, 151)"
"(191, 201)","(196, 199)","(193, 203)","(193, 197)"
"(204, 213)","(211, 217)","(210, 216)","(207, 212)"
"(215, 217)","(211, 217)","(210, 216)","(215, 218)"
"(219, 229)","(220, 225)","(224, 234)","(224, 232)"
"(219, 229)","(226, 231)","(224, 234)","(224, 232)"
"(234, 243)","(236, 245)","(236, 245)","(239, 243)"
"(264, 265)","(259, 268)","(263, 271)","(259, 268)"
"(272, 281)","(274, 281)","(278, 284)","(277, 278)"
"(272, 281)","(274, 281)","(278, 284)","(281, 285)"
"(288, 298)","(288, 289)","(288, 298)","(288, 295)"
"(288, 298)","(292, 302)","(288, 298)","(288, 295)"
"(314, 319)","(306, 316)","(315, 320)","(316, 320)"
"(329, 337)","(321, 330)","(325, 330)","(324, 332)"
"(372, 379)","(375, 381)","(375, 376)","(370, 376)"
"(388, 396)","(391, 400)","(388, 395)","(391, 400)"
"(421, 424)","(416, 425)","(418, 424)","(415, 422)"
"(440, 442)","(435, 444)","(436, 446)","(432, 442)"
"(448, 453)","(445, 455)","(448, 456)","(444, 449)"
"(454, 459)","(445, 455)","(448, 456)","(454, 456)"
"(467, 471)","(459, 469)","(466, 469)","(467, 475)"
"(480, 485)","(482, 488)","(485, 489)","(484, 489)"
"(486, 487)","(482, 488)","(485, 489)","(484, 489)"
"(494, 496)","(493, 503)","(495, 503)","(495, 496)"
"(500, 510)","(493, 503)","(495, 503)","(503, 509)"
"(527, 529)","(520, 528)","(527, 532)","(519, 528)"
"(547, 557)","(546, 552)","(544, 551)","(547, 549)"
"(561, 568)","(558, 568)","(562, 566)","(559, 568)"
"(587, 589)","(578, 588)","(585, 588)","(587, 592)"
"(651, 656)","(646, 656)","(653, 663)","(655, 663)"
"(660, 668)","(659, 660)","(653, 663)","(655, 663)"
"(672, 676)","(665, 674)","(670, 673)","(670, 676)"
"(685, 695)","(688, 698)","(682, 688)","(685, 691)"
"(710, 718)","(705, 715)","(715, 725)","(715, 725)"
"(710, 718)","(716, 719)","(715, 725)","(715, 725)"
"(725, 728)","(725, 733)","(715, 725)","(715, 725)"
"(756, 764)","(761, 763)","(762, 769)","(762, 768)"
"(784, 791)","(777, 784)","(780, 784)","(775, 785)"
"(792, 796)","(795, 802)","(794, 795)","(792, 801)"
"(800, 805)","(795, 802)","(800, 803)","(792, 801)"
"(800, 805)","(795, 802)","(800, 803)","(802, 812)"
"(810, 815)","(812, 820)","(811, 814)","(802, 812)"
"(823, 830)","(822, 827)","(824, 831)","(821, 825)"
"(835, 844)","(836, 844)","(832, 841)","(834, 840)"
"(868, 875)","(868, 872)","(861, 869)","(866, 872)"
"(879, 888)","(874, 884)","(877, 879)","(878, 883)"
"(898, 907)","(901, 903)","(901, 909)","(901, 909)"
"(923, 933)","(920, 925)","(916, 926)","(919, 928)"
"(975, 982)","(978, 987)","(972, 982)","(981, 983)"
"(1026, 1032)","(1026, 1033)","(1026, 1034)","(1026, 1035)"
"(1069, 1078)","(1073, 1079)","(1073, 1083)","(1075, 1080)"
"(1085, 1089)","(1086, 1092)","(1085, 1089)","(1082, 1086)"
"(1085, 1089)","(1086, 1092)","(1085, 1089)","(1087, 1097)"
